Number of classes: 650
Epoch 1/10
Batch 7600/18213 - Loss: nan, Accuracy: 0.14%
Batch 7700/18213 - Loss: nan, Accuracy: 0.14%
Batch 7800/18213 - Loss: nan, Accuracy: 0.14%
Batch 7900/18213 - Loss: nan, Accuracy: 0.14%
Batch 8000/18213 - Loss: nan, Accuracy: 0.14%
Batch 8100/18213 - Loss: nan, Accuracy: 0.14%
Batch 8200/18213 - Loss: nan, Accuracy: 0.14%
Batch 8300/18213 - Loss: nan, Accuracy: 0.14%
Batch 8400/18213 - Loss: nan, Accuracy: 0.14%
Batch 8500/18213 - Loss: nan, Accuracy: 0.15%
Batch 8600/18213 - Loss: nan, Accuracy: 0.15%
Batch 8700/18213 - Loss: nan, Accuracy: 0.15%
Batch 8800/18213 - Loss: nan, Accuracy: 0.15%
Batch 8900/18213 - Loss: nan, Accuracy: 0.15%
